translations = {
    "English": {
        "select_state": "Select State",
        "update_button": "Update Live Data",
        "high": "High",
        "medium": "Medium",
        "low": "Low",
        "high_risk": "High Risk Districts",
        "medium_risk": "Medium Risk Districts",
        "low_risk": "Low Risk Districts",
        "india_map": "India-wide Disaster Risk Map",
        "district_ranking": "District Risk Ranking",
        "historical": "Historical Comparison (Before vs Now)",
        "before": "Before",
        "now": "Now",
        "ai_report": "AI Situation Report",
        "report_intro": "In",
        "report_measures": "Immediate monitoring and preparedness measures are advised in high-risk zones.",
        "voice_alert": "Play Tamil Voice Alert",
        "pdf_report": "Download PDF Report"
    },
    "Tamil": {
        "select_state": "மாநிலத்தை தேர்வு செய்க",
        "update_button": "புதிய தரவைப் புதுப்பி",
        "high": "உயர்",
        "medium": "மத்திய",
        "low": "குறைவு",
        "high_risk": "உயர் ஆபத்து மாவட்டங்கள்",
        "medium_risk": "மத்திய ஆபத்து மாவட்டங்கள்",
        "low_risk": "குறைவு ஆபத்து மாவட்டங்கள்",
        "india_map": "இந்தியா முழுவதும் ஆபத்து வரைபடம்",
        "district_ranking": "மாவட்ட ஆபத்து வரிசை",
        "historical": "வரலாற்று ஒப்பீடு (முந்தையதைவிட தற்போது)",
        "before": "முந்தையது",
        "now": "தற்போது",
        "ai_report": "ஏ.ஐ நிலை அறிக்கை",
        "report_intro": "மாநிலத்தில்",
        "report_measures": "உயர் ஆபத்து பகுதிகளில் உடனடி கண்காணிப்பு மற்றும் தயாரிப்பு நடவடிக்கைகள் அவசியம்.",
        "voice_alert": "தமிழ் சத்தச் சிக்னல் இயக்கவும்",
        "pdf_report": "PDF அறிக்கையை பதிவிறக்கம் செய்க"
    },
    "Hindi": {
        "select_state": "राज्य चुनें",
        "update_button": "लाइव डेटा अपडेट करें",
        "high": "उच्च",
        "medium": "मध्यम",
        "low": "कम",
        "high_risk": "उच्च जोखिम वाले जिले",
        "medium_risk": "मध्यम जोखिम वाले जिले",
        "low_risk": "कम जोखिम वाले जिले",
        "india_map": "भारत-व्यापी आपदा जोखिम मानचित्र",
        "district_ranking": "जिला जोखिम रैंकिंग",
        "historical": "ऐतिहासिक तुलना (पहले बनाम अब)",
        "before": "पहले",
        "now": "अब",
        "ai_report": "एआई स्थिति रिपोर्ट",
        "report_intro": "में",
